TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
44,0.72,0.74,19.22,14.12,855.25,40,10,0.78,-3.12
45,0.6,0.74,19.61,14.12,851.5,40,10,0,-3.12
46,0.64,0.74,19.22,14.12,855.25,40,10,0,-3.12
47,0.64,0.74,19.22,14.12,855.25,40,9,0,-3.12
48,0.18,0.74,19.22,14.12,851.5,40,10,0,-3.12
49,0.1,0.74,19.61,14.12,851.5,40,10,0,-3.12
50,0.16,0.74,19.22,14.12,851.5,40,10,0,-3.12
51,0.16,0.74,19.22,14.12,851.5,40,10,0,-3.12
52,0.14,0.74,19.22,14.12,847.5,40,11,0.78,-3.12
53,0.12,0.74,19.22,14.12,847.5,40,11,0.78,-3.12
54,0.66,0.74,19.22,14.12,843.75,40,11,0.78,-3.12
55,0.62,0.74,19.22,14.12,843.75,40,11,0.78,-3.12
56,0.66,0.74,19.22,14.12,847.5,40,11,0.78,-3.12
57,0.52,0.74,19.22,14.12,843.75,40,11,0,-3.12
58,0.74,0.74,19.22,14.12,843.75,40,11,0,-3.12
59,0.26,0.74,19.22,14.12,843.75,40,11,0,-3.12
60,0.26,0.74,19.22,14.12,847.5,40,11,0,-3.12
61,0.26,0.74,19.22,14.12,847.5,40,11,0,-3.12
62,0.72,0.74,19.22,14.12,851.5,40,11,0,-3.12
63,0.34,0.74,19.22,14.12,847.5,40,10,-0.78,-3.12
64,0.14,0.74,19.22,14.12,851.5,40,11,-0.78,-3.12
65,0.1,0.74,19.22,14.12,847.5,40,10,-0.78,-3.12
66,0.12,0.74,19.22,14.12,847.5,40,11,0,-3.12
67,0.1,0.74,19.22,14.12,847.5,40,11,0,-3.12
68,0.1,0.74,19.22,14.12,847.5,40,11,0,-3.12
69,0.36,0.74,19.22,14.12,851.5,40,11,0,-3.12
70,0.32,0.74,19.22,14.12,847.5,40,11,0,-3.12
71,0.32,0.74,19.22,14.12,847.5,40,11,0,-3.12
72,0.46,0.74,19.22,14.12,851.5,40,10,0,-3.12
73,0.66,0.74,19.22,14.12,847.5,40,10,0,-3.12
74,0.7,0.74,19.22,14.12,851.5,40,10,0,-3.12
75,0.38,0.74,19.22,14.12,847.5,40,11,0,-3.12
76,0.36,0.74,19.22,14.12,843.75,40,11,0,-3.12
77,0.2,0.74,19.22,14.12,843.75,40,11,0,-3.12
78,0.14,0.74,19.22,14.12,843.75,40,11,0,-3.12
79,0.1,0.74,19.22,14.12,847.5,40,11,0,-3.12
80,0.18,0.74,19.22,14.12,847.5,40,11,0,-3.12
81,0.36,0.74,19.22,14.12,851.5,40,10,0,-3.12
82,0.6,0.74,19.22,14.12,855.25,40,10,0,-3.12
83,0.66,0.74,19.22,14.12,855.25,40,9,0,-3.12
84,0.74,0.74,19.22,14.12,855.25,40,10,0,-3.12
85,0.4,0.74,19.22,14.12,851.5,40,9,0,-3.12
86,0.34,0.74,19.22,14.12,847.5,40,10,0,-3.12
87,0.26,0.74,19.22,14.12,847.5,40,11,-0.78,-3.12
88,0.12,0.74,19.22,14.12,847.5,40,11,0,-3.12
89,0.1,0.74,19.22,14.12,851.5,40,11,0,-3.12
90,0.12,0.74,19.22,14.12,847.5,40,10,0,-3.12
91,0.34,0.74,19.22,14.12,851.5,40,10,0,-3.12
92,0.32,0.74,19.22,14.12,851.5,40,10,0,-3.12
93,0.32,0.74,19.22,14.12,851.5,40,11,0,-3.12
94,0.68,0.74,19.22,14.12,851.5,40,10,0,-3.12
95,0.66,0.74,19.22,14.12,855.25,40,9,0,-3.12
96,0.2,0.74,19.22,14.12,851.5,40,9,0,-3.12
97,0.12,0.74,19.22,14.12,847.5,40,11,0,-3.12
98,0.1,0.74,19.22,14.12,847.5,40,11,0,-3.12
99,0.12,0.74,19.22,14.12,851.5,40,11,0,-3.12
100,0.12,0.74,19.22,14.12,851.5,40,11,0,-3.12
101,0.2,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
102,0.48,0.74,19.22,14.12,851.5,40,11,0.78,-3.12
103,0.22,0.74,19.22,14.12,851.5,40,9,0.78,-3.12
104,0.58,0.74,19.22,14.12,855.25,40,9,0.78,-3.12
105,0.68,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
106,0.64,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
107,0.64,0.74,19.22,14.12,851.5,40,9,0.78,-3.12
108,0.26,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
109,0.46,0.74,19.22,14.12,851.5,40,10,0,-3.12
110,0.38,0.74,19.22,14.12,847.5,40,11,0,-3.12
111,0.12,0.74,19.22,14.12,847.5,40,11,0.78,-3.12
112,0.1,0.74,19.22,14.12,851.5,40,11,0.78,-3.12
113,0.12,0.74,19.22,14.12,851.5,40,11,0.78,-3.12
114,0.22,0.74,19.22,14.12,847.5,40,10,0.78,-3.12
115,0.58,0.74,19.22,14.12,851.5,40,11,0.78,-3.12
116,0.66,0.74,19.22,14.12,847.5,40,10,0.78,-3.12
117,0.72,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
118,0.3,0.74,19.61,14.12,851.5,40,10,0.78,-3.12
119,0.24,0.74,19.22,14.12,843.75,40,11,0,-3.12
120,0.2,0.74,19.22,14.12,843.75,40,11,0,-3.12
121,0.14,0.74,19.22,14.12,839.75,40,11,0,-3.12
122,0.12,0.74,19.22,14.12,839.75,40,11,0,-3.12
123,0.16,0.74,19.22,14.12,839.75,40,11,0,-3.12
124,0.16,0.74,19.22,14.12,839.75,40,11,0,-3.12
125,0.36,0.74,19.22,14.12,835.75,40,11,0.78,-3.12
126,0.36,0.74,19.22,14.12,843.75,40,11,0.78,-3.12
127,0.7,0.74,19.22,14.12,839.75,40,11,0,-3.12
128,0.76,0.74,19.22,14.12,843.75,40,11,0,-3.12
129,0.74,0.74,19.22,14.12,847.5,40,11,0,-3.12
130,0.7,0.74,19.22,14.12,847.5,40,11,0,-3.12
131,0.76,0.74,19.22,14.12,851.5,40,11,0,-3.12
132,0.72,0.74,19.22,14.12,847.5,40,10,-0.78,-3.12
133,0.2,0.74,19.22,14.12,851.5,40,10,-0.78,-3.12
134,0.14,0.74,19.22,14.12,847.5,40,10,-0.78,-3.12
135,0.12,0.74,19.61,14.12,843.75,40,11,0,-3.12
136,0.1,0.74,19.22,14.12,839.75,40,11,0,-3.12
137,0.1,0.74,19.61,14.12,839.75,40,11,0,-3.12
138,0.24,0.74,19.61,14.12,839.75,40,12,0,-3.12
139,0.18,0.74,19.22,14.12,835.75,40,11,0,-3.12
140,0.64,0.74,19.22,14.12,839.75,40,11,0,-3.12
141,0.64,0.74,19.22,14.12,839.75,40,11,0,-3.12
142,0.74,0.74,19.22,14.12,839.75,40,12,0,-3.12
143,0.76,0.74,19.22,14.12,835.75,41,11,0,-3.12
144,0.68,0.74,19.61,14.12,839.75,40,11,0,-3.12
145,0.44,0.74,19.61,14.12,839.75,41,11,0,-3.12
146,0.24,0.74,19.61,14.12,843.75,40,11,0,-3.12
147,0.12,0.74,19.61,14.12,843.75,40,11,0,-3.12
148,0.12,0.74,19.61,14.12,843.75,40,11,0,-3.12
149,0.56,0.74,19.22,14.12,851.5,40,11,0,-3.12
150,0.56,0.74,19.22,14.12,847.5,40,11,0,-3.12
151,0.56,0.74,19.22,14.12,847.5,40,10,0,-3.12
152,0.7,0.74,19.22,14.12,851.5,40,11,0,-3.12
153,0.72,0.74,19.22,14.12,847.5,40,11,0,-3.12
154,0.74,0.74,19.22,14.12,847.5,40,11,-0.78,-3.12
155,0.24,0.74,19.61,14.12,843.75,40,11,-0.78,-3.12
156,0.2,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
157,0.12,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
158,0.1,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
159,0.12,0.74,19.22,14.12,843.75,40,11,0,-3.12
160,0.36,0.74,19.61,14.12,847.5,40,11,0,-3.12
161,0.44,0.74,19.22,14.12,847.5,40,10,0,-3.12
162,0.2,0.74,19.22,14.12,851.5,40,11,0,-3.12
163,0.5,0.74,19.61,14.12,847.5,40,11,0,-3.12
164,0.5,0.74,19.22,14.12,851.5,40,11,0,-3.12
165,0.5,0.72,19.22,14.12,851.5,40,11,0,-3.12
166,0.44,0.74,19.22,14.12,851.5,40,10,0,-3.12
167,0.46,0.74,19.22,14.12,847.5,40,11,0,-3.12
168,0.58,0.74,19.22,14.12,851.5,40,11,0,-3.12
169,0.16,0.74,19.61,14.12,847.5,40,11,-0.78,-3.12
170,0.16,0.74,19.61,14.12,847.5,40,10,-0.78,-3.12
171,0.1,0.74,19.22,14.12,847.5,40,11,0,-3.12
172,0.1,0.74,19.22,14.12,843.75,40,11,0,-3.12
173,0.14,0.74,19.22,14.12,843.75,40,11,0,-3.12
174,0.1,0.74,19.22,14.12,851.5,40,11,0,-3.12
175,0.28,0.74,19.22,14.12,851.5,40,10,0,-3.12
176,0.66,0.74,19.22,14.12,851.5,40,10,0,-3.12
177,0.68,0.74,19.22,14.12,851.5,40,10,0,-3.12
178,0.66,0.74,19.61,14.12,843.75,40,11,0,-3.12
179,0.7,0.74,19.22,14.12,843.75,40,11,0,-3.12
180,0.26,0.74,19.22,14.12,843.75,40,11,0,-3.12
181,0.1,0.74,19.61,14.12,847.5,40,11,0,-3.12
182,0.1,0.74,19.22,14.12,843.75,40,11,0,-3.12
183,0.16,0.74,19.22,14.12,847.5,40,11,0,-3.12
184,0.16,0.74,19.22,14.12,847.5,40,11,0,-3.12
185,0.14,0.74,19.22,14.12,847.5,40,11,0,-3.12
186,0.72,0.74,19.22,14.12,851.5,40,10,0,-3.12
187,0.56,0.74,19.22,14.12,847.5,40,10,0,-3.12
188,0.62,0.72,19.22,14.12,847.5,40,10,0,-3.12
189,0.62,0.72,19.22,14.12,847.5,40,10,0,-3.12
190,0.62,0.74,19.22,14.12,847.5,40,11,0,-3.12
191,0.14,0.74,19.22,14.12,843.75,40,11,0,-3.12
192,0.1,0.74,19.22,14.12,843.75,40,11,0,-3.12
193,0.3,0.74,19.22,14.12,843.75,40,11,0,-3.12
194,0.2,0.74,19.22,14.12,847.5,40,11,0,-3.12
195,0.14,0.74,19.22,14.12,847.5,40,11,0.78,-3.12
196,0.4,0.74,19.61,14.12,847.5,40,10,0.78,-3.12
197,0.74,0.74,19.22,14.12,851.5,40,10,0,-3.12
198,0.74,0.72,19.22,14.12,851.5,40,10,0,-3.12
199,0.46,0.74,19.22,14.12,855.25,40,10,0,-3.12
200,0.32,0.74,19.61,14.12,851.5,40,10,0,-3.12
201,0.32,0.74,19.61,14.12,851.5,40,10,0,-3.12
202,0.22,0.74,19.22,14.12,855.25,40,9,0,-3.12
203,0.12,0.72,19.22,14.12,851.5,40,10,0,-3.12
204,0.1,0.74,19.22,14.12,851.5,40,10,0,-3.12
205,0.1,0.74,19.22,14.12,851.5,40,10,0,-3.12
206,0.14,0.74,19.22,14.12,851.5,40,9,0.78,-3.12
207,0.14,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
208,0.58,0.74,19.61,14.12,847.5,40,10,0.78,-3.12
209,0.66,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
210,0.36,0.72,19.22,14.12,851.5,40,11,0.78,-3.12
211,0.64,0.72,19.22,14.12,847.5,40,11,0,-3.12
212,0.64,0.72,19.22,14.12,847.5,40,10,0,-3.12
213,0.72,0.72,19.61,14.12,855.25,40,10,0,-3.12
214,0.58,0.74,19.61,14.12,851.5,40,9,0,-3.12
215,0.2,0.72,19.22,14.12,851.5,40,10,0,-3.12
216,0.2,0.72,19.22,14.12,847.5,40,11,0,-3.12
217,0.12,0.74,19.22,14.12,847.5,40,10,0,-3.12
218,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
219,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
220,0.16,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
221,0.16,0.74,19.22,14.12,847.5,40,11,0.78,-3.12
222,0.16,0.74,19.22,14.12,847.5,40,11,0.78,-3.12
223,0.16,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
224,0.34,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
225,0.72,0.74,19.22,14.12,851.5,40,11,0.78,-3.12
226,0.74,0.72,19.61,14.12,851.5,40,9,0.78,-3.12
227,0.36,0.72,19.22,14.12,851.5,40,10,0,-3.12
228,0.5,0.72,19.22,14.12,847.5,40,10,0,-3.12
229,0.48,0.72,19.22,14.12,851.5,40,11,0,-3.12
230,0.12,0.72,19.22,14.12,843.75,40,11,0,-3.12
231,0.1,0.72,19.61,14.12,847.5,40,11,0,-3.12
232,0.2,0.72,19.22,14.12,851.5,40,11,0,-3.12
233,0.14,0.72,19.22,14.12,843.75,40,11,0,-3.12
234,0.24,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
235,0.48,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
236,0.68,0.72,19.61,14.12,851.5,40,11,0.78,-3.12
237,0.4,0.72,19.22,14.12,851.5,40,10,0.78,-3.12
238,0.64,0.72,19.22,14.12,851.5,40,10,0,-3.12
239,0.64,0.72,19.22,14.12,851.5,40,10,0,-3.12
240,0.7,0.72,19.22,14.12,855.25,40,10,0,-3.12
241,0.46,0.72,19.22,14.12,847.5,40,10,0,-3.12
242,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
243,0.14,0.72,19.22,14.12,847.5,40,11,-0.78,-3.12
244,0.14,0.72,19.22,14.12,843.75,40,11,0,-3.12
245,0.1,0.72,19.22,14.12,843.75,40,11,0,-3.12
246,0.14,0.72,19.22,14.12,843.75,40,11,0,-3.12
247,0.36,0.72,19.22,14.12,843.75,40,11,0,-3.12
248,0.2,0.72,19.22,14.12,839.75,40,11,0,-3.12
249,0.66,0.72,19.22,14.12,843.75,40,11,0,-3.12
250,0.74,0.72,19.22,14.12,847.5,40,11,0,-3.12
251,0.76,0.72,19.61,14.12,847.5,40,10,0,-3.12
252,0.66,0.72,19.22,14.12,851.5,40,10,0,-3.12
253,0.66,0.72,19.22,14.12,851.5,40,10,0,-3.12
254,0.72,0.72,19.61,14.12,851.5,40,10,-0.78,-3.12
255,0.14,0.72,19.22,14.12,851.5,40,10,-0.78,-3.12
256,0.1,0.72,19.22,14.12,851.5,40,10,-0.78,-3.12
257,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
258,0.12,0.72,19.22,14.12,843.75,40,11,0,-3.12
259,0.12,0.72,19.22,14.12,847.5,40,11,0,-3.12
260,0.44,0.72,19.22,14.12,847.5,40,11,0,-3.12
261,0.4,0.72,19.22,14.12,843.75,40,11,0,-3.12
262,0.7,0.72,19.22,14.12,843.75,40,11,0,-3.12
263,0.66,0.72,19.22,14.12,843.75,40,11,0,-3.12
264,0.72,0.72,19.22,14.12,847.5,40,11,0,-3.12
265,0.5,0.72,19.22,14.12,847.5,40,11,0,-3.12
266,0.58,0.72,19.22,14.12,847.5,40,10,0,-3.12
267,0.76,0.72,19.22,14.12,851.5,40,11,-0.78,-3.12
268,0.6,0.72,19.22,14.12,851.5,40,10,-0.78,-3.12
269,0.38,0.72,19.22,14.12,847.5,40,11,-0.78,-3.12
270,0.16,0.72,19.22,14.12,843.75,40,11,-0.78,-3.12
271,0.16,0.72,19.22,14.12,843.75,40,11,-0.78,-3.12
272,0.1,0.72,19.22,14.12,843.75,40,11,-0.78,-3.12
273,0.1,0.72,19.61,14.12,839.75,40,11,-0.78,-3.12
274,0.08,0.72,19.22,14.12,839.75,40,11,0,-3.12
275,0.08,0.72,19.22,14.12,839.75,40,11,0,-3.12
276,0.22,0.72,19.61,14.12,843.75,40,11,0,-3.12
277,0.2,0.72,19.22,14.12,843.75,40,11,0,-3.12
278,0.46,0.72,19.22,14.12,843.75,40,11,0,-3.12
279,0.72,0.72,19.22,14.12,847.5,40,11,0,-3.12
280,0.7,0.72,19.22,14.12,847.5,40,10,0,-3.12
281,0.7,0.72,19.22,14.12,851.5,40,10,-0.78,-3.12
282,0.7,0.72,19.22,14.12,851.5,40,10,-0.78,-3.12
283,0.38,0.72,19.22,14.12,847.5,40,10,-0.78,-3.12
284,0.14,0.72,19.22,14.12,851.5,40,10,0,-3.12
285,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
286,0.1,0.72,19.22,14.12,843.75,40,11,0,-3.12
287,0.14,0.72,19.22,14.12,843.75,40,11,0,-3.12
288,0.12,0.72,19.22,14.12,839.75,40,11,0,-3.12
289,0.12,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
290,0.68,0.72,19.61,14.12,843.75,40,11,0.78,-3.12
291,0.74,0.72,19.61,14.12,847.5,40,11,0.78,-3.12
292,0.74,0.72,19.22,14.12,847.5,40,11,0,-3.12
293,0.66,0.72,19.61,14.12,843.75,40,11,0,-3.12
294,0.68,0.72,19.61,14.12,843.75,40,11,0,-3.12
295,0.26,0.72,19.61,14.12,843.75,40,11,0,-3.12
296,0.2,0.72,19.61,14.12,843.75,40,11,0,-3.12
297,0.5,0.72,19.22,14.12,843.75,40,11,0,-3.12
298,0.28,0.72,19.61,14.12,843.75,40,11,0,-3.12
299,0.52,0.72,19.22,14.12,847.5,40,11,0,-3.12
300,0.56,0.72,19.22,14.12,843.75,40,11,0,-3.12
301,0.68,0.72,19.22,14.12,843.75,40,11,0,-3.12
302,0.28,0.72,19.22,14.12,843.75,40,11,0,-3.12
303,0.16,0.72,19.22,14.12,843.75,40,11,0,-3.12
304,0.16,0.72,19.22,14.12,843.75,40,11,0,-3.12
305,0.16,0.72,19.22,14.12,847.5,40,11,0,-3.12
306,0.16,0.72,19.22,14.12,847.5,40,11,0,-3.12
307,0.12,0.72,19.22,14.12,847.5,40,11,0,-3.12
308,0.12,0.72,19.22,14.12,847.5,40,10,0,-3.12
309,0.64,0.72,19.22,14.12,847.5,40,10,0,-3.12
310,0.64,0.72,19.22,14.12,847.5,40,11,0,-3.12
311,0.68,0.72,19.61,14.12,847.5,40,10,0,-3.12
312,0.46,0.72,19.22,14.12,851.5,40,11,0,-3.12
313,0.48,0.72,19.22,14.12,847.5,40,10,0,-3.12
314,0.58,0.72,19.61,14.12,851.5,40,11,0,-3.12
315,0.12,0.72,19.22,14.12,847.5,40,10,0,-3.12
316,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
317,0.12,0.72,19.22,14.12,847.5,40,11,0,-3.12
318,0.14,0.72,19.22,14.12,847.5,40,11,0,-3.12
319,0.22,0.72,19.22,14.12,851.5,40,11,0,-3.12
320,0.22,0.72,19.61,14.12,851.5,40,11,0.78,-3.12
321,0.22,0.72,19.61,14.12,851.5,40,10,0.78,-3.12
322,0.6,0.72,19.22,14.12,847.5,40,10,0,-3.12
323,0.16,0.72,19.61,14.12,847.5,40,10,0,-3.12
324,0.16,0.72,19.61,14.12,847.5,40,11,0,-3.12
325,0.14,0.72,19.61,14.12,843.75,40,11,0,-3.12
326,0.18,0.72,19.22,14.12,851.5,40,11,0.78,-3.12
327,0.16,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
328,0.16,0.72,19.22,14.12,847.5,40,10,0.78,-3.12
329,0.3,0.72,19.22,14.12,851.5,40,11,0.78,-3.12
330,0.72,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
331,0.74,0.72,19.61,14.12,847.5,40,10,0,-3.12
332,0.36,0.72,19.22,14.12,851.5,40,10,0,-3.12
333,0.26,0.72,19.61,14.12,843.75,40,11,0,-3.12
334,0.14,0.72,19.22,14.12,847.5,40,11,0,-3.12
335,0.14,0.72,19.22,14.12,843.75,40,11,0,-3.12
336,0.12,0.72,19.22,14.12,843.75,40,11,0,-3.12
337,0.12,0.72,19.22,14.12,843.75,40,11,0,-3.12
338,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
339,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
340,0.1,0.72,19.22,14.12,847.5,40,11,0,-3.12
341,0.32,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
342,0.32,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
343,0.32,0.72,19.22,14.12,847.5,40,11,0.78,-3.12
344,0.58,0.72,19.61,14.12,847.5,40,10,0.78,-3.12
345,0.58,0.72,19.61,14.12,847.5,40,10,0.78,-3.12
346,0.58,0.72,19.61,14.12,847.5,40,10,0.78,-3.12
347,0.46,0.72,19.61,14.12,847.5,40,11,0.78,-3.12
348,0.46,0.72,19.61,14.12,847.5,40,11,0.78,-3.12
349,0.38,0.72,19.22,14.12,843.75,40,11,0.78,-3.12
350,0.38,0.72,19.22,14.12,843.75,40,11,0.78,-3.12
351,0.38,0.72,19.22,14.12,843.75,40,11,0.78,-3.12
352,0.38,0.72,19.22,14.12,843.75,40,11,0,-3.12
353,0.38,0.72,19.22,14.12,843.75,40,11,0,-3.12
354,0.38,0.72,19.22,14.12,843.75,40,11,0,-3.12
355,0.5,0.72,19.22,14.12,839.75,40,11,0,-3.12
356,0.5,0.72,19.22,14.12,839.75,40,11,0,-3.12
357,0.5,0.72,19.22,14.12,839.75,40,11,0,-3.12
358,0.52,0.72,19.22,14.12,835.75,40,11,0,-3.12
359,0.52,0.72,19.22,14.12,835.75,40,11,0,-3.12
360,0.52,0.72,19.22,14.12,835.75,40,11,0,-3.12
361,0.74,0.72,19.61,14.12,835.75,40,12,0,-3.12
362,0.74,0.72,19.61,14.12,835.75,40,12,0,-3.12
363,0.52,0.72,19.22,14.12,835.75,41,11,0,-3.12
364,0.52,0.72,19.22,14.12,835.75,41,11,0,-3.12
365,0.52,0.72,19.22,14.12,835.75,41,11,0,-3.12
366,0.36,0.72,19.22,14.12,839.75,41,11,0,-3.12
367,0.36,0.72,19.22,14.12,839.75,41,11,0,-3.12
368,0.36,0.72,19.22,14.12,839.75,41,11,0,-3.12
369,0.58,0.72,19.22,14.12,839.75,41,11,0,-3.12
370,0.58,0.72,19.22,14.12,839.75,41,11,0,-3.12
371,0.58,0.72,19.22,14.12,839.75,41,11,0,-3.12
372,0.56,0.72,19.22,14.12,839.75,41,11,-0.78,-3.12
373,0.56,0.72,19.22,14.12,839.75,41,11,-0.78,-3.12
374,0.56,0.72,19.22,14.12,839.75,41,11,-0.78,-3.12
375,0.16,0.72,19.61,14.12,843.75,41,11,-0.78,-3.12
376,0.16,0.72,19.61,14.12,843.75,41,11,-0.78,-3.12
377,0.16,0.72,19.22,14.12,839.75,41,11,-0.78,-3.12
378,0.1,0.72,19.22,14.12,839.75,41,11,-0.78,-3.12
379,0.1,0.72,19.22,14.12,839.75,41,11,-0.78,-3.12
380,0.12,0.72,19.22,14.12,843.75,41,11,-0.78,-3.12
381,0.12,0.72,19.22,14.12,843.75,41,11,-0.78,-3.12
382,0.12,0.72,19.22,14.12,843.75,41,11,-0.78,-3.12
383,0.1,0.72,19.22,14.12,839.75,41,11,0,-3.12
384,0.1,0.72,19.22,14.12,839.75,41,11,0,-3.12
385,0.1,0.72,19.22,14.12,839.75,41,11,0,-3.12
386,0.1,0.72,19.22,14.12,839.75,41,11,0,-3.12
387,0.1,0.72,19.22,14.12,839.75,41,11,0,-3.12
388,0.1,0.72,19.22,14.12,839.75,41,11,0,-3.12
389,0.14,0.72,19.22,14.12,847.5,41,11,0,-3.12
390,0.14,0.72,19.22,14.12,847.5,41,11,0,-3.12
391,0.14,0.72,19.22,14.12,847.5,41,11,0,-3.12
392,0.14,0.72,19.22,14.12,847.5,41,11,0,-3.12
393,0.14,0.72,19.22,14.12,847.5,41,11,0,-3.12
394,0.12,0.72,19.61,14.12,851.5,40,11,0,-3.12
395,0.12,0.72,19.61,14.12,851.5,40,11,0,-3.12
396,0.12,0.72,19.61,14.12,851.5,40,11,0,-3.12
397,0.56,0.72,19.22,14.12,851.5,40,10,0.78,-3.12
398,0.56,0.72,19.22,14.12,851.5,40,10,0.78,-3.12
399,0.56,0.72,19.22,14.12,851.5,40,10,0.78,-3.12
400,0.74,0.72,19.22,14.12,851.5,40,10,0,-3.12
401,0.74,0.72,19.22,14.12,851.5,40,10,0,-3.12
402,0.74,0.72,19.22,14.12,851.5,40,10,0,-3.12
403,0.6,0.72,19.22,14.12,851.5,40,10,0,-3.12
404,0.6,0.72,19.22,14.12,851.5,40,10,0,-3.12
405,0.34,0.72,19.22,14.12,847.5,40,10,0,-3.12
406,0.34,0.72,19.22,14.12,847.5,40,10,0,-3.12
407,0.34,0.72,19.22,14.12,847.5,40,10,0,-3.12
408,0.22,0.72,19.61,14.12,847.5,40,11,0,-3.12
409,0.22,0.72,19.61,14.12,847.5,40,11,0,-3.12
410,0.22,0.72,19.61,14.12,847.5,40,11,0,-3.12
411,0.14,0.72,19.61,14.12,847.5,40,11,0,-3.12
412,0.14,0.72,19.61,14.12,847.5,40,11,0,-3.12
413,0.14,0.72,19.61,14.12,847.5,40,11,0,-3.12
